id,level,status,note,ground_truth,predicted_table
L3-Q-EASY-001,EASY,correct,"MSRP value matches 42,900.00","MSRP ของสินค้า NT-LT-001 คือ 42,900.00 บาท ตาม DIM_PRODUCT.","| msrp_thb |
| --- |
| 42,900.00 |"
L3-Q-EASY-002,EASY,correct,Count matches 767,มีรายการ vendor payment ที่ปี-เดือนของ posting_date ไม่ตรงกับ business_event_date ทั้งหมด 767 แถว.,"| COUNT(*) |
| --- |
| 767 |"
L3-Q-EASY-003,EASY,correct,"Vendor/share matches VeloShip 23,182 and 100.00%","รายการขนส่งทั้งหมดใน FACT_SHIPPING ถูกจัดการโดย VeloShip (V-006) จำนวน 23,182 รายการ คิดเป็น 100.00% ของทั้งหมด.","| name_en | total_shipments | percentage_of_total_shipments |
| --- | --- | --- |
| VeloShip | 23182 | 100.00 |"
L3-Q-EASY-004,EASY,correct,Employee and count match,พนักงาน CS ที่มี interaction มากที่สุดคือ EMP-L3-00010 รวม 730 ครั้ง.,"| employee_id | interaction_count |
| --- | --- |
| EMP-L3-00010 | 730 |"
L3-Q-EASY-005,EASY,correct,Partner vendor IDs match; count inferable from two rows,FahMai มี partner brand vendor 2 ราย คือ V-001 (NovaTech) และ V-002 (NovaTech Service).,"| vendor_id | name_th | name_en |
| --- | --- | --- |
| V-001 | NovaTech | NovaTech |
| V-002 | NovaTech Service | NovaTech Service |"
L3-Q-EASY-006,EASY,correct,Branch and net revenue match; transaction count not included in table,"ในช่วงปี 2024-2025 สาขาที่มี transaction การขายมากที่สุดคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 transactions และ net_total_thb รวม 1,039,386,349.00 บาท.","| branch_code | total_net_revenue_thb |
| --- | --- |
| BKK-SIAM | 1,039,386,349.00 |"
L3-Q-EASY-007,EASY,correct,Tier counts match,"จำนวนลูกค้าแยกตาม loyalty_tier คือ none 7,800 ราย, silver 7,200 ราย, gold 7,500 ราย, และ platinum 7,500 ราย.","| loyalty_tier | customer_count |
| --- | --- |
| gold | 7500 |
| none | 7800 |
| platinum | 7500 |
| silver | 7200 |"
L3-Q-EASY-008,EASY,correct,Count matches 11,DIM_BRANCH มีสาขา/สถานที่ทั้งหมด 11 แห่ง.,"| COUNT(*) |
| --- |
| 11 |"
L3-Q-EASY-009,EASY,wrong,Predicted Vichai Leelawong; GT is Naret Vision,ณ วันที่ 1 มิถุนายน 2568 หลังการเปลี่ยนผ่านผู้บริหาร CEO คือ Naret Vision (EMP-L3-00013) ตาม DIM_EMPLOYEE.,"| first_name_en | last_name_en |
| --- | --- |
| Vichai | Leelawong |"
L3-Q-EASY-010,EASY,correct,Warranty months match 24,สินค้า AW-MN-001 มีระยะเวลารับประกัน 24 เดือน.,"| warranty_months |
| --- |
| 24 |"
L3-Q-EASY-011,EASY,correct,Effective date matches 2025-02-15,นโยบาย refund signing authority ladder ฉบับ current version มีผลตั้งแต่วันที่ 2025-02-15 (policy_version_id 6).,"| effective_date |
| --- |
| 2025-02-15 |"
L3-Q-EASY-012,EASY,correct,"MSRP matches 38,900.00","MSRP ของสินค้า SF-Galaxy-Pro-2568 คือ 38,900.00 บาท ตาม DIM_PRODUCT.","| msrp_thb |
| --- |
| 38,900.00 |"
