id,level,status,note,ground_truth,predicted_table
L3-Q-EASY-001,EASY,correct,Value-level match against ground truth; output is markdown table.,"MSRP ของสินค้า NT-LT-001 คือ 42,900.00 บาท ตาม DIM_PRODUCT.","| msrp_thb |
| --- |
| 42,900.00 |"
L3-Q-EASY-002,EASY,correct,Value-level match against ground truth; output is markdown table.,มีรายการ vendor payment ที่ปี-เดือนของ posting_date ไม่ตรงกับ business_event_date ทั้งหมด 767 แถว.,"| COUNT(*) |
| --- |
| 767 |"
L3-Q-EASY-003,EASY,correct,Value-level match against ground truth; output is markdown table.,"รายการขนส่งทั้งหมดใน FACT_SHIPPING ถูกจัดการโดย VeloShip (V-006) จำนวน 23,182 รายการ คิดเป็น 100.00% ของทั้งหมด.","| name_en | total_shipments | vendor_share_pct |
| --- | --- | --- |
| VeloShip | 23182 | 100.00 |"
L3-Q-EASY-004,EASY,correct,Value-level match against ground truth; output is markdown table.,พนักงาน CS ที่มี interaction มากที่สุดคือ EMP-L3-00010 รวม 730 ครั้ง.,"| employee_id | interaction_count |
| --- | --- |
| EMP-L3-00010 | 730 |"
L3-Q-EASY-005,EASY,correct,Value-level match against ground truth; output is markdown table.,FahMai มี partner brand vendor 2 ราย คือ V-001 (NovaTech) และ V-002 (NovaTech Service).,"| vendor_id | name_th | name_en |
| --- | --- | --- |
| V-001 | NovaTech | NovaTech |
| V-002 | NovaTech Service | NovaTech Service |"
L3-Q-EASY-006,EASY,correct,Value-level match against ground truth; output is markdown table.,"ในช่วงปี 2024-2025 สาขาที่มี transaction การขายมากที่สุดคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 transactions และ net_total_thb รวม 1,039,386,349.00 บาท.","| branch_code | total_net_revenue_thb | transaction_count |
| --- | --- | --- |
| BKK-SIAM | 1,039,386,349.00 | 18084 |"
L3-Q-EASY-007,EASY,correct,Value-level match against ground truth; output is markdown table.,"จำนวนลูกค้าแยกตาม loyalty_tier คือ none 7,800 ราย, silver 7,200 ราย, gold 7,500 ราย, และ platinum 7,500 ราย.","| loyalty_tier | customer_count |
| --- | --- |
| gold | 7500 |
| none | 7800 |
| platinum | 7500 |
| silver | 7200 |"
L3-Q-EASY-008,EASY,correct,Value-level match against ground truth; output is markdown table.,DIM_BRANCH มีสาขา/สถานที่ทั้งหมด 11 แห่ง.,"| COUNT(*) |
| --- |
| 11 |"
L3-Q-EASY-009,EASY,correct,Value-level match against ground truth; output is markdown table.,ณ วันที่ 1 มิถุนายน 2568 หลังการเปลี่ยนผ่านผู้บริหาร CEO คือ Naret Vision (EMP-L3-00013) ตาม DIM_EMPLOYEE.,"| employee_id | first_name_en | last_name_en | position_title | canon_role_label |
| --- | --- | --- | --- | --- |
| EMP-L3-00013 | Naret | Vision | CEO | Incoming CEO |"
L3-Q-EASY-010,EASY,correct,Value-level match against ground truth; output is markdown table.,สินค้า AW-MN-001 มีระยะเวลารับประกัน 24 เดือน.,"| warranty_months |
| --- |
| 24 |"
L3-Q-EASY-011,EASY,correct,Value-level match against ground truth; output is markdown table.,นโยบาย refund signing authority ladder ฉบับ current version มีผลตั้งแต่วันที่ 2025-02-15 (policy_version_id 6).,"| effective_date |
| --- |
| 2025-02-15 |"
L3-Q-EASY-012,EASY,correct,Value-level match against ground truth; output is markdown table.,"MSRP ของสินค้า SF-Galaxy-Pro-2568 คือ 38,900.00 บาท ตาม DIM_PRODUCT.","| msrp_thb |
| --- |
| 38,900.00 |"
L3-Q-EASY-013,EASY,correct,Value-level match against ground truth; output is markdown table.,DIM_VENDOR มี vendor ทั้งหมด 6 ราย.,"| COUNT(*) |
| --- |
| 6 |"
L3-Q-EASY-014,EASY,correct,Value-level match against ground truth; output is markdown table.,"สาขาที่มีรายการขายมากที่สุดตลอดข้อมูลคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 รายการ.","| branch_code | transaction_count |
| --- | --- |
| BKK-SIAM | 18084 |"
L3-Q-EASY-015,EASY,correct,Value-level match against ground truth; output is markdown table.,DIM_EMPLOYEE มีพนักงานทั้งหมด 600 คน.,"| COUNT(*) |
| --- |
| 600 |"
L3-Q-EASY-016,EASY,correct,Value-level match against ground truth; output is markdown table.,วันที่ 15 ธันวาคม 2024 นโยบายที่มีผลบังคับใช้ให้ลูกค้าคืนสินค้าได้ภายใน 14 วัน (policy_version_id 1).,"| policy_version_id | policy_variable | value_numeric | effective_date | end_date |
| --- | --- | --- | --- | --- |
| 1 | return_window_days | 14.00 | 2024-01-01 | 2025-03-01 |"
L3-Q-EASY-017,EASY,correct,Value-level match against ground truth; output is markdown table.,DIM_CUSTOMER มีลูกค้าประเภท B2B ทั้งหมด 300 ราย.,"| COUNT(DISTINCT customer_id) |
| --- |
| 300 |"
L3-Q-EASY-018,EASY,correct,Value-level match against ground truth; output is markdown table.,ก่อนวันที่ 1 เมษายน 2025 อัตราสะสม FahMai Points คือ 0.0100 points ต่อบาท (policy_version_id 3).,"| policy_version_id | policy_variable | value_numeric | effective_date | end_date |
| --- | --- | --- | --- | --- |
| 3 | point_earning_rate_per_thb | 0.0100 | 2024-01-01 | 2025-04-01 |"
L3-Q-EASY-019,EASY,correct,Value-level match against ground truth; output is markdown table.,ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป อัตราสะสม FahMai Points คือ 0.0125 points ต่อบาท (policy_version_id 4).,"| policy_version_id | policy_variable | value_numeric | effective_date | end_date |
| --- | --- | --- | --- | --- |
| 4 | point_earning_rate_per_thb | 0.0125 | 2025-04-01 |  |"
L3-Q-EASY-020,EASY,correct,Value-level match against ground truth; output is markdown table.,"รายการขนส่งทั้งหมดรับผิดชอบโดย VeloShip (V-006) รวม 23,182 รายการ.","| vendor_name_en | total_shipments |
| --- | --- |
| VeloShip | 23182 |"
L3-Q-EASY-021,EASY,correct,Value-level match against ground truth; output is markdown table.,"DIM_CUSTOMER มีลูกค้า loyalty_tier gold ทั้งหมด 7,500 ราย.","| COUNT(*) |
| --- |
| 7500 |"
L3-Q-EASY-022,EASY,correct,Value-level match against ground truth; output is markdown table.,"tier สูงสุดที่มีการกำหนดให้ลูกค้าจริงคือ platinum มีลูกค้า 7,500 ราย.","| loyalty_tier | customer_count |
| --- | --- |
| platinum | 7500 |"
