id,response
L3-Q-EASY-001,"MSRP ของสินค้า NT-LT-001 (NovaTech laptop Powercell X3) เป็น 42,900.00 บาท"
L3-Q-EASY-002,มีรายการ vendor payment ที่ปี-เดือนของ posting_date ไม่ตรงกับ business_event_date ทั้งหมด 767 แถว จาก 809 ทั้งหมด
L3-Q-EASY-003,"รายการขนส่งทั้งหมดใน FACT_SHIPPING ถูกจัดการโดย VeloShip (V-006) จำนวน 23,182 รายการ คิดเป็น 100.00% ของทั้งหมด"
L3-Q-EASY-004,พนักงาน CS ที่มี interaction มากที่สุดคือ EMP-L3-00010 รวม 730 ครั้ง
L3-Q-EASY-005,FahMai มี partner brand vendor 2 ราย คือ V-001 (NovaTech) และ V-002 (NovaTech Service)
L3-Q-EASY-006,"ในช่วงปี 2024-2025 สาขาที่มี transaction การขายมากที่สุดคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 transactions net_total_thb รวม 1,039,386,349.00 บาท"
L3-Q-EASY-007,"จำนวนลูกค้าแยกตาม loyalty_tier: none 7,800 ราย, silver 7,200 ราย, gold 7,500 ราย, platinum 7,500 ราย รวม 30,000"
L3-Q-EASY-008,DIM_BRANCH มีสาขา/สถานที่ทั้งหมด 11 แห่ง
L3-Q-EASY-009,ณ วันที่ 1 มิถุนายน 2568 (2025-06-01) หลังการเปลี่ยนผ่านผู้บริหาร CEO คือ Naret Vision (EMP-L3-00013) ตาม DIM_EMPLOYEE handover 2025-01-15
L3-Q-EASY-010,สินค้า AW-MN-001 (ArcWave monitor flagship) ระยะเวลารับประกัน 24 เดือน ตาม DIM_PRODUCT sku_id AW-MN-001
L3-Q-EASY-011,นโยบาย refund signing authority ladder ฉบับ current version มีผลตั้งแต่วันที่ 2025-02-15 policy_version_id 6
L3-Q-EASY-012,"MSRP ของสินค้า SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็น 38,900.00 บาท ตาม DIM_PRODUCT sku_id SF-Galaxy-Pro-2568"
L3-Q-EASY-013,DIM_VENDOR มี vendor ทั้งหมด 6 ราย
L3-Q-EASY-014,"สาขาที่มีรายการขายมากที่สุดตลอดข้อมูลคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 รายการ"
L3-Q-EASY-015,DIM_EMPLOYEE มีพนักงานทั้งหมด 600 คน
L3-Q-EASY-016,วันที่ 15 ธันวาคม 2024 นโยบายที่มีผลบังคับใช้ให้ลูกค้าคืนสินค้าได้ภายใน 14 วัน policy_version_id 1 effective_date 2024-01-01
L3-Q-EASY-017,DIM_CUSTOMER มีลูกค้าประเภท B2B ทั้งหมด 300 ราย
L3-Q-EASY-018,ก่อนวันที่ 1 เมษายน 2025 อัตราสะสม FahMai Points คือ 0.0100 points ต่อบาท policy_version_id 3
L3-Q-EASY-019,ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป อัตราสะสม FahMai Points คือ 0.0125 points ต่อบาท policy_version_id 4
L3-Q-EASY-020,"รายการขนส่งทั้งหมดรับผิดชอบโดย VeloShip (V-006) รวม 23,182 รายการ เป็น shipping vendor เดียวที่ขนส่งให้ FahMai"
L3-Q-EASY-021,"DIM_CUSTOMER มีลูกค้า loyalty_tier gold ทั้งหมด 7,500 ราย"
L3-Q-EASY-022,"tier สูงสุดที่มีการกำหนดให้ลูกค้าจริงคือ platinum มีลูกค้า 7,500 ราย"
L3-Q-EASY-023,DIM_BANK_ACCOUNT มีบัญชีธนาคารทั้งหมด 14 บัญชี
L3-Q-EASY-024,"refund threshold ที่มีผล ณ วันที่ 1 เมษายน 2025 คือ 5,000.00 บาท policy_version_id 12 effective_date 2025-03-15"
L3-Q-EASY-025,DIM_PROMO_CAMPAIGN มีแคมเปญโปรโมชันทั้งหมด 7 แคมเปญ
L3-Q-HARD-001,"(1) Invoice ID ที่ซ้ำ: PW-INV-2568-04823 (2) มี 2 แถวที่ใช้ invoice ID เดียวกัน (3) แถวที่ 1: payment_id=VP-202504-9096124, 89,000 THB, posting_date=2025-04-05; แถวที่ 2: payment_id=VP-202509-15179906, 104,500 THB, posting_date=2025-09-10"
