id,question,answer
L3-Q-EASY-001,MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) เป็นเท่าไหร่ครับ,"| msrp_thb |
| --- |
| 42,900.00 |"
L3-Q-EASY-002,ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment กี่รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date ครับ (นับเป็นจำนวนแถว โดยถือว่าต่างกันก็ต่อเมื่อ ปี-เดือน ของสองคอลัมน์นี้ไม่ตรงกัน),"| COUNT(*) |
| --- |
| 767 |"
L3-Q-EASY-003,ในตาราง FACT_SHIPPING รายการขนส่งทั้งหมดของ FahMai ถูกจัดการโดย vendor รายใดบ้าง ขอชื่อ vendor (ชื่อบริษัทขนส่ง) และส่วนแบ่งของ vendor นั้นเทียบกับจำนวนรายการขนส่งทั้งหมด (เป็นเปอร์เซ็นต์) ครับ,"| name_en | total_shipments | vendor_share_pct |
| --- | --- | --- |
| VeloShip | 23182 | 100.00 |"
L3-Q-EASY-004,ในตาราง FACT_CS_INTERACTION พนักงาน CS คนไหน (employee_id) ที่มีจำนวน interaction บันทึกไว้มากที่สุดครับ และมีทั้งหมดกี่ครั้ง,"| employee_id | interaction_count |
| --- | --- |
| EMP-L3-00010 | 730 |"
L3-Q-EASY-005,FahMai มี vendor ที่เป็น partner brand (พาร์ทเนอร์แบรนด์สินค้า) ทั้งหมดกี่ราย และ vendor_id ของแต่ละรายคืออะไรบ้างครับ,"| vendor_id | name_th | name_en |
| --- | --- | --- |
| V-001 | NovaTech | NovaTech |
| V-002 | NovaTech Service | NovaTech Service |"
L3-Q-EASY-006,ในปี 2024-2025 สาขาไหนของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุด และยอดรายได้รวม (net_total_thb) ของสาขานั้นเป็นเท่าไหร่ครับ,"| branch_code | total_net_revenue_thb | total_transactions |
| --- | --- | --- |
| BKK-SIAM | 1,039,386,349.00 | 18084 |"
L3-Q-EASY-007,ในฐานข้อมูลลูกค้าของฟ้าใหม่ มีลูกค้าทั้งหมดกี่รายในแต่ละ loyalty_tier ครับ ขอจำนวนแยกตามแต่ละ tier ที่ปรากฏใน DIM_CUSTOMER,"| loyalty_tier | customer_count |
| --- | --- |
| gold | 7500 |
| none | 7800 |
| platinum | 7500 |
| silver | 7200 |"
L3-Q-EASY-008,FahMai มีสาขา/สถานที่ทั้งหมดกี่แห่งในไดเรกทอรี DIM_BRANCH ครับ (นับทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),"| COUNT(*) |
| --- |
| 11 |"
L3-Q-EASY-009,ใครเป็น CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 (หลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568) ครับ ขอชื่อ-นามสกุลตามที่ระบุไว้ใน DIM_EMPLOYEE,"| employee_id | first_name_en | last_name_en | position_title | canon_role_label |
| --- | --- | --- | --- | --- |
| EMP-L3-00013 | Naret | Vision | CEO | Incoming CEO |"
L3-Q-EASY-010,ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือกี่เดือนครับ,"| warranty_months |
| --- |
| 24 |"
L3-Q-EASY-011,นโยบาย refund signing authority ladder ฉบับล่าสุด (current version) ของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่เท่าไหร่ครับ,"| effective_date |
| --- |
| 2025-02-15 |"
L3-Q-EASY-012,MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็นเท่าไหร่ครับ,"| msrp_thb |
| --- |
| 38,900.00 |"
L3-Q-EASY-013,FahMai มี vendor (คู่ค้า/ซัพพลายเออร์) ทั้งหมดกี่รายในไดเรกทอรี DIM_VENDOR ครับ (นับทุกรายในตาราง รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),"| COUNT(*) |
| --- |
| 6 |"
